DATE,LFACTTTTUSM657S
1960-01-01,-0.0463808447111343
1960-02-01,-0.0188509613990314
1960-03-01,-0.797691047005758
1960-04-01,1.7251714206348
1960-05-01,0.0675491168312278
1960-06-01,0.442363484905064
1960-07-01,-0.270254811679584
1960-08-01,0.13764427557531
1960-09-01,0.443865351297948
1960-10-01,-0.380607546578096
1960-11-01,0.79417320130502
1960-12-01,-0.0624653955905109
1961-01-01,0.0738688827331486
1961-02-01,-0.0383266853095235
1961-03-01,0.401874467480829
1961-04-01,-0.616664073660241
1961-05-01,0.263281483484424
1961-06-01,0.604667007324136
1961-07-01,-0.482519258444087
1961-08-01,-0.00283543155268232
1961-09-01,-0.449428644341736
1961-10-01,0.39164304940399
1961-11-01,-0.164557680304148
1961-12-01,-0.424860747982267
1962-01-01,0.159824193387274
1962-02-01,0.313439427830572
1962-03-01,0.00710136488233038
1962-04-01,-0.193143408981169
1962-05-01,0.388457269700333
1962-06-01,-0.0524443310512962
1962-07-01,-0.300649516408089
1962-08-01,0.965833119968138
1962-09-01,0.242318366886913
1962-10-01,-0.331679619973859
1962-11-01,-0.0648645599785665
1962-12-01,-0.0239872444300207
1963-01-01,0.412115053490276
1963-02-01,0.16304500604391
1963-03-01,0.22592686144088
1963-04-01,0.383629923134004
1963-05-01,0.18829239717143
1963-06-01,-0.286780265062925
1963-07-01,0.460726551810795
1963-08-01,-0.236255489465785
1963-09-01,0.480595102109046
1963-10-01,0.207954970816986
1963-11-01,0.189538052876966
1963-12-01,-0.317600596536773
1964-01-01,0.232725660774644
1964-02-01,0.451932113439107
1964-03-01,0.0412751262330944
1964-04-01,0.771526412058366
1964-05-01,0.1651336081011
1964-06-01,-0.494584099734314
1964-07-01,-0.0342315697228612
1964-08-01,0.152040215321818
1964-09-01,0.235236193550152
1964-10-01,0.024559967253377
1964-11-01,-0.0300103672177661
1964-12-01,0.244248560434462
1965-01-01,0.141564010072824
1965-02-01,0.391469232964972
1965-03-01,0.1245650378434
1965-04-01,0.377287049182545
1965-05-01,0.32063372312335
1965-06-01,-0.0725163161711385
1965-07-01,0.469010374670752
1965-08-01,-0.193951391768435
1965-09-01,-0.152782245094886
1965-10-01,0.4509946041717
1965-11-01,-0.0547850022715733
1965-12-01,0.395737796970467
1966-01-01,0.123846430426271
1966-02-01,-0.308568084483813
1966-03-01,0.161432345171705
1966-04-01,0.35031635031635
1966-05-01,0.144681302928137
1966-06-01,0.265086749638819
1966-07-01,0.117651724457017
1966-08-01,0.409316573360093
1966-09-01,0.0131499355653157
1966-10-01,0.188019354160093
1966-11-01,0.53937715718054
1966-12-01,0.0404646912935648
1967-01-01,-0.00260956929058859
1967-02-01,-0.153968606062188
1967-03-01,-0.252218345290835
1967-04-01,0.588250707473011
1967-05-01,-0.00520989358792347
1967-06-01,0.64736300522319
1967-07-01,0.251067684741814
1967-08-01,0.320148714241454
1967-09-01,0.128680255301627
1967-10-01,0.490926849329152
1967-11-01,-0.00383661150471903
1967-12-01,0.383675870624496
1968-01-01,-1.16319068428227
1968-02-01,0.840444455902446
1968-03-01,0.0332353317141762
1968-04-01,0.0178900020445717
1968-05-01,0.737191772071036
1968-06-01,0.346240186690679
1968-07-01,-0.18958543983822
1968-08-01,-0.201342281879195
1968-09-01,0.0596363451802413
1968-10-01,0.069745618707043
1968-11-01,0.37509662539759
1968-12-01,0.320670630862654
1969-01-01,0.075506839661226
1969-02-01,0.623718924084856
1969-03-01,0.0749821917294642
1969-04-01,0.252250902234044
1969-05-01,-0.194317459922024
1969-06-01,0.712636505460218
1969-07-01,0.162337662337662
1969-08-01,0.345181684338154
1969-09-01,0.226863610583681
1969-10-01,0.250953376799114
1969-11-01,-0.119027167644244
1969-12-01,0.278880057004558
1970-01-01,0.437371361364305
1970-02-01,0.207365121186616
1970-03-01,0.422392910615817
1970-04-01,0.277582486848166
1970-05-01,-0.294946027294595
1970-06-01,0.00121237103403125
1970-07-01,0.505552592017846
1970-08-01,-0.0253314194038673
1970-09-01,0.0892857142857143
1970-10-01,0.388166935892181
1970-11-01,0.32662471780585
1970-12-01,0.14602384258151
1971-01-01,0.215130871280029
1971-02-01,-0.294573643410853
1971-03-01,-0.0334916211140748
1971-04-01,0.443912653305414
1971-05-01,0.225144735901651
1971-06-01,-0.509894811909431
1971-07-01,0.757412849735981
1971-08-01,0.394830448185914
1971-09-01,0.0684988130809113
1971-10-01,0.166408988445787
1971-11-01,0.690451503440475
1971-12-01,0.195417632053172
1972-01-01,0.412262773722628
1972-02-01,0.0674591174486496
1972-03-01,0.668324887256497
1972-04-01,0.00346376326332683
1972-05-01,0.225136813909991
1972-06-01,0.22693499521939
1972-07-01,0.157460405029538
1972-08-01,0.429179624295698
1972-09-01,-0.142829393146474
1972-10-01,0.113282680336873
1972-11-01,0.115440445302945
1972-12-01,0.400721527080099
1973-01-01,-0.518517676222098
1973-02-01,1.00243464743333
1973-03-01,0.545471006292155
1973-04-01,0.193593408819756
1973-05-01,-0.0460581006088656
1973-06-01,0.641738876338829
1973-07-01,0.0625362933845535
1973-08-01,-0.106022052586938
1973-09-01,0.367560803941503
1973-10-01,0.326142612257619
1973-11-01,0.649055264004616
1973-12-01,0.191807398915296
1974-01-01,0.339971393992738
1974-02-01,0.313599929823792
1974-03-01,-0.034978411761491
1974-04-01,-0.181514001727663
1974-05-01,0.338492885076736
1974-06-01,0.296956198960653
1974-07-01,0.374450298254017
1974-08-01,-0.165922005812692
1974-09-01,0.466005496475087
1974-10-01,0.0324366404290286
1974-11-01,0.268055945869993
